,대출금액,상환계획(차수),완전납부,세모납부,미납부,대출사유,고정소득액,소득-소비금액
1,300000,4,3,1,0,4,"300,000","180,000"
2,300000,6,3,3,0,2,"400,000","70,000"
3,300000,6,4,2,0,2,"290,000","120,000"
4,300000,3,3,0,0,1,"410,000","150,000"
5,300000,1,1,0,0,4,"420,000","140,000"
6,300000,4,3,1,0,1,"590,000","110,000"
7,150000,6,1,5,0,5,"460,000","170,000"
8,300000,3,2,1,0,1,"440,000","180,000"
9,200000,1,1,0,0,3,"480,000","90,000"
10,300000,4,1,3,0,5,"250,000","140,000"
11,300000,6,3,3,0,1,"380,000","200,000"
12,300000,6,1,5,0,2,"330,000","90,000"
13,300000,6,5,1,0,4,"300,000","170,000"
14,300000,4,0,4,0,1,"530,000","50,000"
15,300000,3,0,3,0,2,"420,000","150,000"
16,300000,5,3,2,0,5,"470,000","150,000"
17,100000,2,2,0,0,1,"590,000","130,000"
18,300000,6,5,1,0,5,"400,000","90,000"
19,300000,1,1,0,0,1,"460,000","110,000"
20,300000,2,1,1,0,3,"330,000","150,000"
21,300000,4,1,3,0,2,"450,000","180,000"
22,300000,3,2,1,0,1,"360,000","200,000"
23,300000,1,1,0,0,4,"490,000","110,000"
24,300000,6,2,4,0,1,"410,000","190,000"
25,250000,4,4,0,0,3,"430,000","120,000"
26,150000,6,6,0,0,1,"310,000","90,000"
27,300000,2,2,0,0,3,"390,000","50,000"
28,200000,3,3,0,0,2,"500,000","170,000"
29,150000,2,0,2,0,5,"250,000","190,000"
30,300000,3,1,2,0,5,"600,000","180,000"
31,300000,6,,,,1,"370,000","100,000"
32,300000,5,,,,2,"320,000","130,000"
33,300000,6,,,,3,"400,000","200,000"
34,300000,3,,,,1,"250,000","70,000"
35,300000,6,,,,1,"560,000","190,000"
36,300000,3,,,,2,"480,000","70,000"
,,,,,,,,
